typeof,name,address,comm,longitude,latitude,location
Community Centre,West Hillhurst Community Centre,1940 6 AV NW,WHL,-114.10461,51.05818078,"(51.058180783465474, -114.10461004572657)"
Library,Sage Hill Library,19 SAGE HILL PS NW,SGH,-114.1471029,51.16891135,"(51.16891134721613, -114.14710286902496)"
Community Centre,Glendale/Glendale Meadows Community Centre,2405 Glenmount DR SW,GDL,-114.1498178,51.03299809,"(51.032998091299575, -114.14981783034104)"
Library,Nicholls Family Library,1421 33 ST SW,RCK,-114.1358227,51.04041137,"(51.04041136768391, -114.13582272876572)"
Community Centre,McKenzie Lake Community Centre,16198 McKenzie Lake WY SE,MCK,-113.983567,50.9062787,"(50.90627869856965, -113.98356700064974)"
Community Centre,Huntington Hills Community Centre,520 78 AV NW,HUN,-114.0722785,51.12372676,"(51.12372675642276, -114.07227849946028)"
Attraction,The Police Museum,5111 47 ST NE,,-113.9709288,51.09882312,"(51.098823119734, -113.97092881500096)"
Library,Saddletowne Library,7556 FALCONRIDGE BV NE,MRT,-113.9478248,51.1202881,"(51.12028809665206, -113.94782479993012)"
Community Centre,Capitol Hill Community Centre,1531 21 AV NW,CAP,-114.0964586,51.07127566,"(51.07127566270025, -114.09645862486829)"
Community Centre,Winston Heights/Mountview Community Centre,520 27 AV NE,WIN,-114.0521206,51.07736047,"(51.07736047022461, -114.05212058905765)"
Community Centre,Elboya Heights Community Centre,416 Park AV SW,EYA,-114.072752,51.01536526,"(51.01536525830262, -114.07275204611734)"
Community Centre,Riverbend Community Centre,19 Rivervalley DR SE,RIV,-114.0163854,50.97245358,"(50.97245358267971, -114.01638539321948)"
Community Centre,Spruce Cliff Community Centre,3375 Spruce DR SW,SPR,-114.1363299,51.04750374,"(51.04750374462838, -114.13632989210797)"
Community Centre,Braeside Community Centre,11024 Braeside DR SW,BRA,-114.1020364,50.95434611,"(50.95434611067999, -114.10203640180053)"
Community Centre,Edgemont Community Centre,33 Edgevalley CI NW,EDG,-114.1441715,51.12848693,"(51.12848692994772, -114.14417148714969)"
Court,Alberta Court of Appeal,2600 450 1 ST SW,DNC,-114.0646681,51.04872179,"(51.04872179174605, -114.0646680885537)"
Community Centre,Mid-Sun Community Centre,50 Midpark RI SE,MID,-114.0566252,50.91543769,"(50.915437688872004, -114.05662520454203)"
Library,Crowfoot Library,8665 NOSE HILL DR NW,ARB,-114.1925405,51.13086974,"(51.13086973775027, -114.19254054018799)"
Community Centre,Bowness / Greenwood / Greenbriar Community Centre,7904 43 AV NW,BOW,-114.2008558,51.09166254,"(51.09166253553679, -114.20085583758586)"
PHS Clinic,East Calgary Health Centre,4715 8 AV SE,FLN,-113.9672201,51.04504854,"(51.04504854027524, -113.9672200855659)"
Social Dev Ctr,East Area,1011 52 ST SE,FLN,-113.9586913,51.04286372,"(51.04286372286171, -113.95869132027342)"
Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC,-114.1479576,51.07455988,"(51.07455988033879, -114.14795761511185)"
Community Centre,Albert Park / Radisson Heights Community Centre,2636 12 AV SE,ALB,-113.9985557,51.04212976,"(51.04212975529989, -113.99855566623944)"
Court,Alberta Provincial Court (Youth),# 201-N 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Attraction,Butterfield Acres Children's Farm,Rocky Ridge RD & 120 AV NW,02A,-114.2358294,51.15901956,"(51.15901955654486, -114.23582941054728)"
Community Centre,Scenic Acres Community Centre,8825 Scurfield DR NW,SCE,-114.2147644,51.12170817,"(51.12170816918224, -114.21476435610282)"
Community Centre,Haysboro Community Centre,1204 89 AV SW,HAY,-114.0877857,50.97474555,"(50.97474554985502, -114.08778574697868)"
Social Dev Ctr,Forest Lawn,3810 17 AV SE,FLN,-113.9796488,51.03794044,"(51.03794043735162, -113.97964875444161)"
Community Centre,Acadia Community Centre,240 90 AV SE,ACA,-114.0651426,50.97317046,"(50.973170463392194, -114.06514256397735)"
Community Centre,Deer Run Community Centre,2223 146 AV SE,DRN,-114.0079417,50.92175537,"(50.92175537205221, -114.00794165335118)"
Community Centre,Cliffe Bungalow/Mission Community Association,2201 Cliff ST SW,CLI,-114.0760846,51.03336143,"(51.033361430010245, -114.07608458241921)"
Community Centre,Beltline Victoria and Connaught Community Centre,1302 6 ST SE,BLN,-114.0479577,51.03999662,"(51.039996621460574, -114.04795765838207)"
Court,Alberta Provincial Court (Criminal),# 402-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Rutland Park Community Centre,3130 40 AV SW,RUT,-114.1352659,51.01838774,"(51.018387743843064, -114.13526594751386)"
Attraction,"Calgary Zoo, Botanical Garden & Prehistoric Park",1300 Zoo RD NE,BRD,-114.0316394,51.04406589,"(51.04406589283427, -114.03163939960726)"
Attraction,WinSport's Canada Olympic Park,88 Canada Olympic RD SW,COP,-114.2154069,51.0823997,"(51.082399702606445, -114.21540689257601)"
Community Centre,Dover Community Centre,3033 30 AV SE,DOV,-113.9890902,51.02671301,"(51.02671300502135, -113.98909015497624)"
Community Centre,Monterey Park Community Centre,2707 Catalina BV NE,MOR,-113.9308847,51.07635425,"(51.07635425278112, -113.93088467016644)"
Hospital,South Health Campus,4448 FRONT ST SE,SET,-113.9517038,50.88210185,"(50.88210185113848, -113.95170381192895)"
Community Centre,"Palliser, Bayview, Pumphill Community Centre",2323 Palliser DR SW,PAL,-114.1137258,50.96863014,"(50.968630143965065, -114.11372575942883)"
Community Centre,Hillhurst/Sunnyside Community Centre,1320 5 AV NW,HIL,-114.0925172,51.05754164,"(51.057541635120565, -114.09251724218966)"
Community Centre,South Calgary Community Centre,3130 16 ST SW,SOC,-114.0983094,51.02599472,"(51.02599472198563, -114.09830938027513)"
Community Centre,Tuxedo Park Community Centre,202 29 AV NE,TUX,-114.0596401,51.07891772,"(51.078917718588066, -114.0596401440611)"
Attraction,Olympic Oval - University of Calgary,188 University CO NW,UOC,-114.1356884,51.07703331,"(51.07703331008856, -114.13568838838447)"
Visitor Info,Tourism Calgary Tower,101 9 AV SW,DNC,-114.063069,51.04433245,"(51.044332451116105, -114.06306897165071)"
Community Centre,Hounsfield Heights/Briar Hill Community Centre,1922 14 AV NW,HOU,-114.1041076,51.0662269,"(51.0662268958542, -114.10410759347351)"
Attraction,Calgary Stampede Park,1410 Olympic WY SE,BLN,-114.0569959,51.0387852,"(51.03878519868122, -114.05699586689883)"
Community Centre,Saddle Ridge Community Centre,7614 42 ST NE,SRI,-113.972859,51.12084344,"(51.12084343878063, -113.97285897998094)"
Attraction,Bow Habitat Station,1440 17A ST SE,ING,-114.0176584,51.04198673,"(51.041986727725785, -114.01765842529399)"
Community Centre,Calgary Marlborough Community Centre,636 Marlborough WY NE,MRL,-113.9742887,51.0582661,"(51.0582661000614, -113.97428871267957)"
Community Centre,Kingsland Community Centre,505 78 AV SW,KIN,-114.0740173,50.98295747,"(50.982957465890294, -114.07401734259619)"
Library,Central Library,800 3 ST SE,DNC,-114.0551754,51.04551175,"(51.045511752813894, -114.05517536017112)"
PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA,-114.0709401,50.97507203,"(50.97507203441003, -114.0709401043907)"
